,open,high,low,close,volume,close_change,return,previous_return,close_executed,close_executed_fixed,close_executed_differential,investment_value,investment_return_dollar,investment_return, investment_return_fixed ,crypto_fees,investment_return_adjusted
2024-01-02 08:15:00+00:00,45713.7435,45773.3,45681.6505,45681.6505,0.000726113,136.22750000000087,0.002991025,-0.000140433,0,0,0,1073,0,0.002803738, 0.00280 , ,   
2024-01-02 08:30:00+00:00,45812.049,45812.049,45812.049,45812.049,0,130.3984999999957,0.002854505,0.002991025,0,0,0,1076,0,0.002795899, 0.00280 , ,   
2024-01-02 08:45:00+00:00,45692.50425,45692.50425,45661.08425,45681.27725,1.1026e-05,-130.77175,-0.002854527,0.002854505,0,0,0,1073,0,-0.002788104, (0.00279), ,   
2024-01-02 09:00:00+00:00,45811.325,45829.24,45811.325,45829.24,0,147.96274999999878,0.003239024,-0.002854527,0,0,0,1076,0,0.002795899, 0.00280 , ,   
2024-01-02 09:15:00+00:00,45748.32875,45755.69,45727.80675,45744.796,0,-84.444,-0.001842579,0.003239024,0,0,0,1075,0,-0.000929368, (0.00093), ,   
2024-01-02 09:30:00+00:00,45877.816999999995,45877.816999999995,45871.83375,45876.551250000004,0,131.75525000000198,0.002880224,-0.001842579,0,0,0,1078,0,0.002790698, 0.00279 , ,   
2024-01-02 09:45:00+00:00,45698.58725,45718.10275,45698.58725,45711.44775,1.1026e-05,-165.1035,-0.003598865,0.002880224,0,0,0,1074,0,-0.003710575, (0.00371), ,   
2024-01-02 10:00:00+00:00,45745.80616666666,45745.80616666666,45745.80616666666,45745.80616666666,0,34.35841666666238,0.000751637,-0.003598865,0,0,0,1075,0,0.000931099, 0.00093 , ,   
2024-01-02 10:15:00+00:00,45720.303,45764.5,45720.303,45735.6,0.031892816,-10.20616667,-0.000223106,0.000751637,0,0,0,1074,0,-0.000930233, (0.00093), ,   
2024-01-02 10:30:00+00:00,45671.889,45671.889,45671.889,45671.889,0,-63.711,-0.001393029,-0.000223106,-45671.889,-45671.889,401,1073,9,-0.000931099, (0.00093),0.0025, (0.0034)
2024-01-02 10:45:00+00:00,45617.812333333335,45617.812333333335,45590.74333333333,45590.74333333333,1.4701333333333334e-05,-81.14566667,-0.001776709,-0.001393029,0,0,0,1073,0,0, -   , ,   
2024-01-02 11:00:00+00:00,45607.562000000005,45618.8275,45607.562000000005,45618.8275,0,28.084166666667443,0.000616006,-0.001776709,0,0,0,1073,0,0, -   , ,   
2024-01-02 11:15:00+00:00,45625.555,45625.555,45616.1745,45616.1745,0,-2.653,-5.82E-05,0.000616006,0,0,0,1073,0,0, -   , ,   
2024-01-02 11:30:00+00:00,45571.7,45587.355,45571.7,45587.355,0,-28.8195,-0.000631782,-5.82E-05,0,0,0,1073,0,0, -   , ,   
2024-01-02 11:45:00+00:00,45308.2,45349.576,45308.2,45335.576,0.000352694,-251.779,-0.005523001,-0.000631782,0,0,0,1073,0,0, -   , ,   
2024-01-02 12:00:00+00:00,45483.2,45483.2,45483.2,45483.2,0,147.62399999999616,0.003256251,-0.005523001,0,0,0,1073,0,0, -   , ,   
2024-01-02 12:15:00+00:00,45406.28825,45416.996,45400.265,45416.996,0,-66.204,-0.00145557,0.003256251,0,0,0,1073,0,0, -   , ,   
2024-01-02 12:30:00+00:00,45516.623,45516.623,45516.623,45516.623,0,99.62700000000041,0.002193606,-0.00145557,0,0,0,1073,0,0, -   , ,   
2024-01-02 12:45:00+00:00,45509.6645,45509.6645,45509.6645,45509.6645,0,-6.9585,-0.000152878,0.002193606,0,0,0,1073,0,0, -   , ,   
2024-01-02 13:00:00+00:00,45361.846000000005,45368.491500000004,45361.846000000005,45368.491500000004,0,-141.173,-0.003102044,-0.000152878,0,0,0,1073,0,0, -   , ,   
2024-01-02 13:15:00+00:00,45537.93,45537.93,45537.93,45537.93,0,169.43849999999657,0.003734718,-0.003102044,0,0,0,1073,0,0, -   , ,   
